period,index_value,spatial_ref,loss_event,loss_proxy
2018-01,1.75,1.79,0,0.219
2018-02,1.09,1.7,0,0.136
2018-03,4.16,4.27,0,0.52
2018-04,8.1,8.14,1,1.0
2018-05,1.55,1.69,0,0.194
2018-06,3.57,3.01,0,0.447
2018-07,2.04,2.06,0,0.256
2018-08,1.22,0.87,0,0.152
2018-09,1.04,0.81,0,0.13
2018-10,0.43,1.24,0,0.053
2018-11,8.52,9.25,1,1.0
2018-12,0.79,1.18,0,0.098
2019-01,1.09,1.31,0,0.136
2019-02,0.58,0.78,0,0.073
2019-03,0.98,0.59,0,0.122
2019-04,1.1,0.6,0,0.137
2019-05,13.57,13.71,1,1.0
2019-06,2.84,2.66,0,0.355
2019-07,4.56,4.25,1,0.57
2019-08,0.18,0.14,0,0.022
2019-09,1.05,1.02,0,0.132
2019-10,2.75,2.83,0,0.344
2019-11,3.86,3.57,0,0.483
2019-12,0.73,0.73,0,0.091
2020-01,3.66,3.16,0,0.457
2020-02,2.76,3.25,0,0.345
2020-03,1.25,1.86,0,0.156
2020-04,5.63,5.19,1,0.704
2020-05,0.21,0.38,0,0.026
2020-06,0.67,0.58,0,0.084
2020-07,0.38,0.42,0,0.047
2020-08,5.25,5.27,1,0.656
2020-09,0.38,0.86,0,0.048
2020-10,0.17,0.39,0,0.022
2020-11,1.07,0.72,0,0.134
2020-12,4.52,4.56,1,0.565
2021-01,0.26,0.25,0,0.033
2021-02,1.36,1.04,0,0.17
2021-03,8.32,8.4,1,1.0
2021-04,3.63,3.62,0,0.454
2021-05,2.22,2.77,0,0.278
2021-06,9.09,9.02,1,1.0
2021-07,0.85,1.03,0,0.107
2021-08,2.71,1.81,0,0.339
2021-09,3.58,2.91,0,0.448
2021-10,3.89,4.03,0,0.487
2021-11,3.42,3.47,0,0.428
2021-12,1.89,2.25,0,0.236
2022-01,2.79,2.33,0,0.349
2022-02,2.84,2.73,0,0.355
2022-03,2.0,1.0,0,0.249
2022-04,0.21,0.0,0,0.027
2022-05,0.2,0.03,0,0.025
2022-06,4.09,4.06,0,0.512
2022-07,0.88,0.65,0,0.11
2022-08,6.02,6.4,1,0.752
2022-09,3.11,2.54,0,0.389
2022-10,3.51,3.0,0,0.439
2022-11,1.55,1.74,0,0.194
2022-12,0.16,0.0,0,0.019
