period,index_value,spatial_ref,loss_event,loss_proxy
2018-01,53.95,47.95,0,0.0
2018-02,47.85,45.13,0,0.0
2018-03,68.34,68.44,0,0.0
2018-04,77.0,75.08,0,0.0
2018-05,47.86,48.79,0,0.0
2018-06,53.9,57.24,0,0.0
2018-07,73.62,65.68,0,0.0
2018-08,59.04,61.03,0,0.0
2018-09,64.17,71.87,0,0.0
2018-10,54.05,56.61,0,0.0
2018-11,72.41,66.31,0,0.0
2018-12,65.87,64.58,0,0.0
2019-01,64.83,56.78,0,0.0
2019-02,69.75,73.63,0,0.0
2019-03,55.7,62.44,0,0.0
2019-04,41.71,49.91,0,0.0
2019-05,56.78,52.97,0,0.0
2019-06,43.23,40.83,0,0.0
2019-07,64.11,59.88,0,0.0
2019-08,56.72,43.21,0,0.0
2019-09,44.02,45.1,0,0.0
2019-10,32.58,32.56,0,0.186
2019-11,46.7,53.05,0,0.0
2019-12,42.73,39.37,0,0.0
2020-01,36.41,32.49,0,0.09
2020-02,40.0,44.58,0,0.0
2020-03,49.73,49.37,0,0.0
2020-04,52.0,52.64,0,0.0
2020-05,59.62,58.24,0,0.0
2020-06,58.66,60.71,0,0.0
2020-07,77.06,81.68,0,0.0
2020-08,50.56,54.11,0,0.0
2020-09,49.27,53.43,0,0.0
2020-10,53.06,54.52,0,0.0
2020-11,70.76,60.86,0,0.0
2020-12,84.42,68.66,0,0.0
2021-01,66.17,57.72,0,0.0
2021-02,62.53,52.61,0,0.0
2021-03,56.42,60.81,0,0.0
2021-04,67.56,66.86,0,0.0
2021-05,68.01,69.6,0,0.0
2021-06,65.19,75.89,0,0.0
2021-07,62.39,51.74,0,0.0
2021-08,57.19,64.9,0,0.0
2021-09,60.16,51.2,0,0.0
2021-10,51.67,54.05,0,0.0
2021-11,63.07,53.64,0,0.0
2021-12,52.14,48.57,0,0.0
2022-01,52.57,58.23,0,0.0
2022-02,45.34,35.14,0,0.0
2022-03,43.98,49.21,0,0.0
2022-04,51.2,50.85,0,0.0
2022-05,26.65,24.9,0,0.334
2022-06,35.41,31.64,0,0.115
2022-07,34.69,40.23,0,0.133
2022-08,40.27,36.4,0,0.0
2022-09,51.41,46.49,0,0.0
2022-10,65.63,65.12,0,0.0
2022-11,43.33,53.42,0,0.0
2022-12,65.83,63.25,0,0.0
